state,x,y
Tamil Nadu,-108,-290
Andhra Pradesh,-86,-182
Telangana,-88,-99
Karnataka,-176,-196
Goa,-219,-171
Kerala,-155,-314
Maharashtra,-194,-62
Chhattisgarh,-14,0
Odisha,59,-32
Gujarat,-278,42
Madhya Pradesh,-94,44
Jharkhand,63,57
West Bengal,128,45
Rajasthan,-224,137
Uttar Pradesh,-44,137
Bihar,73,109
Himachal Pradesh,-136,285
Uttarakhand,-80,234
Punjab,-184,250
Haryana,-155,205
Sikkim,143,169
Arunachal Pradesh,289,203
Assam,251,149
Meghalaya,192,113
Nagaland,294,138
Manipur,284,96
Mizoram,259,53
Tripura,227,69
